title,ytlink,artist,wikipage
You Say,https://www.youtube.com/watch?v=sIaT8Jl2zpI,Lauren Daigle,https://en.wikipedia.org/wiki/You_Say
"Hey Look Ma, I Made It",https://www.youtube.com/watch?v=BzbxacRr5Gk,Panic! at the Disco,"https://en.wikipedia.org/wiki/Hey_Look_Ma,_I_Made_It"
Circles,https://www.youtube.com/watch?v=wXhTHyIgQ_U,Post Malone,https://en.wikipedia.org/wiki/Circles_(Post_Malone_song)
Beer Never Broke My Heart,,Luke Combs,https://en.wikipedia.org/wiki/Beer_Never_Broke_My_Heart
The London,https://www.youtube.com/watch?v=G8Hp-AKrfm0,"Young Thug, J. Cole and Travis Scott",https://en.wikipedia.org/wiki/The_London_(song)
Con Calma,https://www.youtube.com/watch?v=DiItGE3eAyQ,Daddy Yankee and Katy Perry featuring Snow,https://en.wikipedia.org/wiki/Con_Calma
Murder on My Mind,https://www.youtube.com/watch?v=hqDinxaPUK4,YNW Melly,https://en.wikipedia.org/wiki/Murder_on_My_Mind
When the Party's Over,https://www.youtube.com/watch?v=pbMwTqkKSps,Billie Eilish,https://en.wikipedia.org/wiki/When_the_Party%27s_Over_(song)
Act Up,https://www.youtube.com/watch?v=F_VsAvS1kuo,City Girls,https://en.wikipedia.org/wiki/Act_Up_(song)
I Like It,https://www.youtube.com/watch?v=xTlNMmZKwpA,"Cardi B, Bad Bunny and J Balvin","https://en.wikipedia.org/wiki/I_Like_It_(Cardi_B,_Bad_Bunny_and_J_Balvin_song)"
Trampoline,,Shaed,https://en.wikipedia.org/wiki/Trampoline_(Shaed_song)
Leave Me Alone,https://www.youtube.com/watch?v=qu0CxX8GJj8,Flipp Dinero,https://en.wikipedia.org/wiki/Leave_Me_Alone_(Flipp_Dinero_song)
Breathin,https://www.youtube.com/watch?v=kN0iD0pI3o0,Ariana Grande,https://en.wikipedia.org/wiki/Breathin
Bury a Friend,https://www.youtube.com/watch?v=HUHC9tYz8ik,Billie Eilish,https://en.wikipedia.org/wiki/Bury_a_Friend
Close Friends,https://www.youtube.com/watch?v=hhzYbExfVIY,Lil Baby,https://en.wikipedia.org/wiki/Close_Friends_(song)
Baby Shark,,Pinkfong,https://en.wikipedia.org/wiki/Baby_Shark#Pinkfong_version
My Type,https://www.youtube.com/watch?v=x5c2iRHlAHA,Saweetie,https://en.wikipedia.org/wiki/My_Type_(Saweetie_song)
Worth It,https://www.youtube.com/watch?v=nPiFfJ0UTqE,YK Osiris,https://en.wikipedia.org/wiki/Worth_It_(YK_Osiris_song)
Only Human,https://www.youtube.com/watch?v=kBNt8hYvn8A,Jonas Brothers,https://en.wikipedia.org/wiki/Only_Human_(Jonas_Brothers_song)
Knockin' Boots,,Luke Bryan,https://en.wikipedia.org/wiki/Knockin%27_Boots_(Luke_Bryan_song)
Trip,https://www.youtube.com/watch?v=W16bk86xIY0,Ella Mai,https://en.wikipedia.org/wiki/Trip_(Ella_Mai_song)
Rumor,,Lee Brice,https://en.wikipedia.org/wiki/Rumor_(Lee_Brice_song)
Swervin,https://www.youtube.com/watch?v=v-rxFHRTrJc,A Boogie wit da Hoodie featuring 6ix9ine,https://en.wikipedia.org/wiki/Swervin
How Do You Sleep?,https://www.youtube.com/watch?v=PmYypVozQb4,Sam Smith,https://en.wikipedia.org/wiki/How_Do_You_Sleep%3F_(Sam_Smith_song)
Baby,https://www.youtube.com/watch?v=0GbwYFqN1iE,Lil Baby and DaBaby,"https://en.wikipedia.org/wiki/Baby_(Quality_Control,_Lil_Baby_and_DaBaby_song)"
Look What God Gave Her,,Thomas Rhett,https://en.wikipedia.org/wiki/Look_What_God_Gave_Her
Good as You,,Kane Brown,https://en.wikipedia.org/wiki/Good_as_You
Clout,https://www.youtube.com/watch?v=mt2zvsvkKKo,Offset featuring Cardi B,https://en.wikipedia.org/wiki/Clout_(Offset_song)
Love Lies,https://www.youtube.com/watch?v=xYtsL9znopI,Khalid and Normani,https://en.wikipedia.org/wiki/Love_Lies_(song)
One Thing Right,https://www.youtube.com/watch?v=29a6o5vRKVM,Marshmello and Kane Brown,https://en.wikipedia.org/wiki/One_Thing_Right
Cash Shit,,Megan Thee Stallion featuring DaBaby,https://en.wikipedia.org/wiki/Cash_Shit
Tequila,,Dan + Shay,https://en.wikipedia.org/wiki/Tequila_(Dan_%2B_Shay_song)
Shotta Flow,https://www.youtube.com/watch?v=3W0e7aI0gAg,NLE Choppa,https://en.wikipedia.org/wiki/Shotta_Flow
Hot Girl Summer,https://www.youtube.com/watch?v=FbcLcSY2au4,Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,https://en.wikipedia.org/wiki/Hot_Girl_Summer_(Megan_Thee_Stallion_song)
Talk You Out of It,,Florida Georgia Line,https://en.wikipedia.org/wiki/Talk_You_Out_of_It
Beautiful,https://www.youtube.com/watch?v=-bx_vG94LSo,Bazzi featuring Camila Cabello,https://en.wikipedia.org/wiki/Beautiful_(Bazzi_song)
Eyes on You,,Chase Rice,https://en.wikipedia.org/wiki/Eyes_on_You_(Chase_Rice_song)
All to Myself,,Dan + Shay,https://en.wikipedia.org/wiki/All_to_Myself_(Dan_%2B_Shay_song)
Boyfriend,https://www.youtube.com/watch?v=9SRxBTtspYM,Ariana Grande and Social House,https://en.wikipedia.org/wiki/Boyfriend_(Ariana_Grande_and_Social_House_song)
Walk Me Home,https://www.youtube.com/watch?v=J1OsKJW51HY,Pink,https://en.wikipedia.org/wiki/Walk_Me_Home_(Pink_song)
Robbery,https://www.youtube.com/watch?v=iI34LYmJ1Fs,Juice Wrld,https://en.wikipedia.org/wiki/Robbery_(Juice_Wrld_song)
